class,mean_hue,mean_saturation,mean_value,bright_ratio
paper,23.47199856505102,23.595603475765305,167.6643614477041,0.0577766262755102
paper,44.945232780612244,31.330257493622447,163.2664022640306,0.4598812181122449
paper,31.071508290816325,27.16896524234694,181.28009406887756,0.3579001913265306
paper,95.03714923469387,96.97064333545919,125.82882254464286,0.23176419005102042
paper,15.492207429846939,33.681660554846935,204.84709821428572,0.6704400510204082
paper,49.88105867346939,21.272082270408163,225.20206871811226,0.7889229910714286
paper,31.696568080357142,23.886858258928573,146.57389987244898,0.30056202168367346
paper,64.19686702806122,19.662806919642858,131.18187978316325,0.10797991071428571
paper,62.1906887755102,27.2952806122449,179.81612723214286,0.4768016581632653
paper,33.0546875,28.161511479591837,178.9452128507653,0.3850645727040816
paper,55.576590401785715,27.312679368622447,188.66183035714286,0.5626594387755102
paper,62.036790497448976,43.14261798469388,206.05668048469389,0.6846101721938775
paper,38.39995216836735,11.553950095663266,178.60160235969389,0.2921117665816326
paper,0.0,0.0,185.32475685586735,0.5028101084183674
paper,36.25839046556123,28.05568399234694,178.9970105229592,0.3482142857142857
paper,78.01863440688776,61.01187818877551,185.17247289540816,0.4812061543367347
paper,110.8160475127551,56.9775390625,198.95705117984693,0.6463647959183674
paper,71.79731345663265,36.98369738520408,209.65379862882654,0.7298309948979592
paper,55.51502710459184,40.81166294642857,121.46229272959184,0.29398517219387754
paper,17.387954400510203,52.37970344387755,122.33420360331633,0.24818638392857142
paper,0.0,0.0,192.1993183992347,0.4335339604591837
paper,27.118343431122447,33.63851243622449,170.75934709821428,0.4912906568877551
paper,27.237723214285715,10.736387914540817,188.74862484056123,0.46813217474489793
paper,44.432497608418366,51.485371492346935,132.30115991709184,0.10024713010204081
paper,0.0,0.0,142.6981425382653,0.15967793367346939
paper,17.437001753826532,27.707828443877553,198.22801737882654,0.6489357461734694
paper,68.07439811862245,53.437380420918366,165.19054926658163,0.337093431122449
paper,26.55598294005102,32.47650271045919,177.5548867984694,0.3559669961734694
paper,88.74826610331633,78.58173230229592,129.70069355867346,0.23011001275510204
paper,28.560985331632654,45.427714445153065,208.24549585459184,0.6449497767857143
paper,22.004484215561224,47.787667410714285,175.38530373086735,0.4124282525510204
paper,43.212810905612244,21.94435586734694,197.16358418367346,0.5748166454081632
paper,18.739536830357142,16.853655133928573,180.81483179209184,0.27762276785714285
paper,93.21580038265306,47.65573182397959,117.20707110969387,0.1835339604591837
paper,47.549784757653065,33.585040656887756,231.71045918367346,0.7895408163265306
paper,93.1456074617347,51.652264030612244,141.73110650510205,0.3071986607142857
paper,26.652423469387756,16.667131696428573,184.83930564413265,0.5227997448979592
paper,27.332967952806122,27.431122448979593,151.1116868622449,0.1587810905612245
paper,0.0,0.0,180.75890864158163,0.35915577168367346
paper,24.77995455994898,46.26640226403061,143.20145089285714,0.34843351403061223
paper,15.63835299744898,48.91258769132653,195.55492665816325,0.6605947066326531
paper,53.925900829081634,31.422094228316325,141.4191047512755,0.2626953125
paper,54.50962611607143,65.89343510841837,220.06226084183675,0.7719626913265306
paper,26.523596938775512,26.767757493622447,179.43461017219389,0.47716039540816324
paper,19.157983896683675,24.239855707908163,202.74740911989795,0.6710180165816326
paper,60.77650669642857,44.423549107142854,170.33988360969389,0.3116430165816326
paper,28.380381058673468,37.892259247448976,150.05719866071428,0.4325374681122449
paper,39.953543526785715,29.29914700255102,169.4304647640306,0.5352359693877551
paper,62.0244140625,10.409917091836734,145.4918287627551,0.22528698979591838
paper,24.70705117984694,16.223772321428573,184.20561623086735,0.26875398596938777
paper,69.95876514668367,22.844567123724488,222.53533561862244,0.8129384566326531
paper,20.024553571428573,69.4906927614796,171.72803730867346,0.5422911352040817
